Date,Order ID,Customer Name,Customer Segment,City,State,Product Category,Product Sub-Category,Units Sold,Unit Cost,Unit Price,Total Cost,Total Sales,Margin,Margin %
2024-04-13,ORD-1020,Mike Martinez,Consumer,Kansas City,MO,Furniture,Chairs,75,264.7,296.65,19852.5,22248.75,2396.25,10.77%
2024-03-20,ORD-1021,Linda Turner,Consumer,Detroit,MI,Electronics,Headphones,29,58.88,95.52,1707.52,2770.08,1062.56,38.36%
2024-07-14,ORD-1022,James Green,Consumer,Philadelphia,PA,Furniture,Tables,62,235.02,436.58,14571.24,27067.96,12496.72,46.17%
2024-06-28,ORD-1023,Anthony Frank,Enterprise,Denver,CO,Office Supplies,Markers,95,93.6,114.23,8892.0,10851.85,1959.85,18.06%
2024-05-02,ORD-1024,Sarah King,Small Business,Philadelphia,PA,Office Supplies,Envelopes,48,163.9,281.21,7867.2,13498.08,5630.88,41.72%
2024-07-07,ORD-1025,Nicole Singh,Small Business,Denver,CO,Office Supplies,Staplers,10,411.51,800.04,4115.1,8000.4,3885.3,48.56%
2024-04-14,ORD-1026,Robert Watson,Enterprise,Indianapolis,IN,Office Supplies,Markers,81,375.38,703.24,30405.78,56962.44,26556.66,46.62%
2024-04-27,ORD-1027,Maria Evans,Small Business,Salt Lake City,UT,Electronics,Smartphones,19,269.66,368.48,5123.54,7001.12,1877.58,26.82%
2024-04-12,ORD-1028,Karen Turner,Small Business,Houston,TX,Furniture,Tables,29,508.51,593.8,14746.79,17220.2,2473.41,14.36%
2024-12-04,ORD-1029,Diana Carter,Enterprise,Kansas City,MO,Office Supplies,Pens,37,89.78,95.71,3321.86,3541.27,219.41,6.2%
2024-07-14,ORD-1030,Karen Anderson,Consumer,Charlotte,NC,Office Supplies,Pens,46,16.5,27.83,759.0,1280.18,521.18,40.71%
2024-05-20,ORD-1031,Daniel Rivera,Business,Dallas,TX,Furniture,Sofas,33,432.55,591.92,14274.15,19533.36,5259.21,26.92%
2024-12-08,ORD-1032,Olivia Singh,Business,New York,NY,Office Supplies,Paper,98,185.12,347.49,18141.76,34054.02,15912.26,46.73%
2024-03-10,ORD-1033,Karen Rivera,Consumer,Cleveland,OH,Office Supplies,Envelopes,11,515.27,611.08,5667.97,6721.88,1053.91,15.68%
2024-09-20,ORD-1034,Olivia Adams,Business,San Francisco,CA,Furniture,Desks,83,209.9,418.02,17421.7,34695.66,17273.96,49.79%
2024-05-20,ORD-1035,Eric Brown,Small Business,Dallas,TX,Electronics,Printers,2,26.96,38.89,53.92,77.78,23.86,30.68%
2024-03-07,ORD-1036,Jessica Hall,Enterprise,Boston,MA,Office Supplies,Binders,74,157.15,207.72,11629.1,15371.28,3742.18,24.35%
2024-10-14,ORD-1037,David Rivera,Business,Portland,OR,Office Supplies,Staplers,69,78.52,96.71,5417.88,6672.99,1255.11,18.81%
2024-11-02,ORD-1038,Jessica Singh,Consumer,Philadelphia,PA,Electronics,Laptops,63,63.53,109.51,4002.39,6899.13,2896.74,41.99%
2024-05-10,ORD-1039,Paul Rivera,Business,San Diego,CA,Office Supplies,Envelopes,15,9.54,18.11,143.1,271.65,128.55,47.32%
2024-05-10,ORD-1040,Nicole Green,Consumer,Miami,FL,Office Supplies,Envelopes,60,232.19,268.97,13931.4,16138.2,2206.8,13.67%
2024-04-29,ORD-1041,Emily Chen,Consumer,Phoenix,AZ,Office Supplies,Binders,61,76.59,93.19,4671.99,5684.59,1012.6,17.81%
2024-02-21,ORD-1042,Paul Lee,Consumer,Cleveland,OH,Electronics,Monitors,88,448.7,718.96,39485.6,63268.48,23782.88,37.59%
2024-03-02,ORD-1043,Olivia Chen,Small Business,Columbus,OH,Electronics,Smartwatches,9,180.73,193.44,1626.57,1740.96,114.39,6.57%
2024-04-28,ORD-1044,James Turner,Business,Cleveland,OH,Office Supplies,Binders,92,579.22,609.78,53288.24,56099.76,2811.52,5.01%
2024-08-18,ORD-1045,Diana Smith,Enterprise,Nashville,TN,Office Supplies,Staplers,14,287.01,457.81,4018.14,6409.34,2391.2,37.31%
2024-09-11,ORD-1046,Linda Frank,Business,Kansas City,MO,Furniture,Sofas,93,507.36,717.56,47184.48,66733.08,19548.6,29.29%
2024-06-12,ORD-1047,Daniel Smith,Business,Cleveland,OH,Electronics,Smartphones,13,410.66,617.89,5338.58,8032.57,2693.99,33.54%
2024-01-30,ORD-1048,Laura Anderson,Small Business,San Francisco,CA,Office Supplies,Notebooks,90,239.79,275.53,21581.1,24797.7,3216.6,12.97%
2024-06-28,ORD-1049,Karen Smith,Business,Phoenix,AZ,Electronics,Laptops,1,181.29,209.49,181.29,209.49,28.2,13.46%
2024-09-05,ORD-1050,David Johnson,Small Business,Nashville,TN,Furniture,Tables,32,518.55,529.34,16593.6,16938.88,345.28,2.04%
2024-08-21,ORD-1051,Laura White,Small Business,Detroit,MI,Office Supplies,Markers,63,533.07,676.27,33583.41,42605.01,9021.6,21.17%
2024-08-10,ORD-1052,Daniel Martinez,Business,Miami,FL,Office Supplies,Binders,69,48.72,67.38,3361.68,4649.22,1287.54,27.69%
2024-06-06,ORD-1053,Mark Green,Enterprise,Phoenix,AZ,Electronics,Smartwatches,89,572.79,828.21,50978.31,73710.69,22732.38,30.84%
2024-01-23,ORD-1054,Maria King,Consumer,Denver,CO,Electronics,Headphones,25,175.75,347.63,4393.75,8690.75,4297.0,49.44%
2024-10-30,ORD-1055,Linda Evans,Enterprise,New Orleans,LA,Electronics,Monitors,88,502.46,894.68,44216.48,78731.84,34515.36,43.84%
2024-03-09,ORD-1056,Eric White,Business,New Orleans,LA,Furniture,Sofas,74,341.35,574.65,25259.9,42524.1,17264.2,40.6%
2024-10-04,ORD-1057,Robert Adams,Enterprise,Phoenix,AZ,Electronics,Smartwatches,65,220.39,399.39,14325.35,25960.35,11635.0,44.82%
2024-12-29,ORD-1058,Maria Davis,Small Business,Indianapolis,IN,Electronics,Headphones,13,394.33,595.47,5126.29,7741.11,2614.82,33.78%
2024-10-14,ORD-1059,Paul Turner,Enterprise,Kansas City,MO,Electronics,Printers,40,526.67,625.72,21066.8,25028.8,3962.0,15.83%
2024-07-06,ORD-1060,Laura Hall,Small Business,Houston,TX,Furniture,Desks,29,349.13,366.25,10124.77,10621.25,496.48,4.67%
2024-07-29,ORD-1061,Laura Gonzalez,Small Business,Denver,CO,Office Supplies,Staplers,83,248.08,466.13,20590.64,38688.79,18098.15,46.78%
2024-03-12,ORD-1062,Olivia Watson,Enterprise,New York,NY,Electronics,Smartphones,29,116.05,198.84,3365.45,5766.36,2400.91,41.64%
2024-11-22,ORD-1063,Paul Lee,Consumer,Boston,MA,Office Supplies,Markers,33,467.11,879.03,15414.63,29007.99,13593.36,46.86%
2024-03-01,ORD-1064,Mark Hall,Small Business,Charlotte,NC,Electronics,Laptops,80,333.65,624.75,26692.0,49980.0,23288.0,46.59%
2024-10-31,ORD-1065,Daniel Gonzalez,Small Business,Boston,MA,Furniture,Cabinets,96,364.67,451.47,35008.32,43341.12,8332.8,19.23%
2024-03-18,ORD-1066,Paul White,Business,Charlotte,NC,Office Supplies,Envelopes,31,80.27,154.6,2488.37,4792.6,2304.23,48.08%
2024-04-27,ORD-1067,John Davis,Small Business,Chicago,IL,Office Supplies,Staplers,99,49.06,96.4,4856.94,9543.6,4686.66,49.11%
2024-09-04,ORD-1068,Diana Frank,Business,New York,NY,Electronics,Printers,25,316.79,347.76,7919.75,8694.0,774.25,8.91%
2024-10-02,ORD-1069,Anthony Chen,Consumer,Detroit,MI,Furniture,Desks,100,101.09,153.84,10109.0,15384.0,5275.0,34.29%
2024-11-15,ORD-1070,Linda Carter,Business,Salt Lake City,UT,Furniture,Tables,6,25.61,32.61,153.66,195.66,42.0,21.47%
2024-07-07,ORD-1071,Linda Watson,Enterprise,New Orleans,LA,Electronics,Monitors,90,394.07,410.49,35466.3,36944.1,1477.8,4.0%
2024-07-22,ORD-1072,Maria Lee,Small Business,Minneapolis,MN,Furniture,Desks,52,127.42,246.8,6625.84,12833.6,6207.76,48.37%
2024-10-06,ORD-1073,Maria Watson,Enterprise,Dallas,TX,Electronics,Headphones,20,149.53,208.16,2990.6,4163.2,1172.6,28.17%
2024-09-09,ORD-1074,Robert White,Business,Atlanta,GA,Furniture,Sofas,25,111.44,145.12,2786.0,3628.0,842.0,23.21%
2024-01-29,ORD-1075,Mark Turner,Enterprise,Indianapolis,IN,Office Supplies,Staplers,80,586.23,960.44,46898.4,76835.2,29936.8,38.96%
2024-05-08,ORD-1076,Karen Green,Enterprise,Salt Lake City,UT,Office Supplies,Markers,74,99.34,135.89,7351.16,10055.86,2704.7,26.9%
2024-07-01,ORD-1077,Mark Johnson,Enterprise,Atlanta,GA,Electronics,Smartphones,45,111.49,177.7,5017.05,7996.5,2979.45,37.26%
2024-02-09,ORD-1078,Anthony Smith,Enterprise,Cleveland,OH,Electronics,Smartphones,95,23.68,33.29,2249.6,3162.55,912.95,28.87%
2024-01-05,ORD-1079,Paul Carter,Small Business,San Francisco,CA,Office Supplies,Staplers,26,22.32,30.9,580.32,803.4,223.08,27.77%
2024-07-30,ORD-1080,Eric Green,Business,San Francisco,CA,Office Supplies,Pens,88,115.14,119.49,10132.32,10515.12,382.8,3.64%
2024-05-11,ORD-1081,John Johnson,Business,Detroit,MI,Furniture,Chairs,36,416.32,761.33,14987.52,27407.88,12420.36,45.32%
2024-10-22,ORD-1082,Linda Smith,Consumer,Seattle,WA,Office Supplies,Paper,76,90.52,140.03,6879.52,10642.28,3762.76,35.36%
2024-08-11,ORD-1083,Nicole Brown,Consumer,Portland,OR,Furniture,Sofas,74,524.33,894.59,38800.42,66199.66,27399.24,41.39%
2024-02-06,ORD-1084,Mike Brown,Small Business,Seattle,WA,Electronics,Printers,45,289.39,412.36,13022.55,18556.2,5533.65,29.82%
2024-09-10,ORD-1085,Daniel Turner,Small Business,San Francisco,CA,Office Supplies,Notebooks,10,202.81,280.9,2028.1,2809.0,780.9,27.8%
2024-06-27,ORD-1086,Diana Martinez,Enterprise,Chicago,IL,Furniture,Cabinets,61,155.75,283.55,9500.75,17296.55,7795.8,45.07%
2024-06-08,ORD-1087,John Lee,Consumer,Chicago,IL,Office Supplies,Staplers,67,141.66,150.2,9491.22,10063.4,572.18,5.69%
2024-01-03,ORD-1088,Anna Turner,Enterprise,New Orleans,LA,Office Supplies,Envelopes,96,348.31,635.2,33437.76,60979.2,27541.44,45.17%
2024-11-28,ORD-1089,Sarah Davis,Enterprise,Columbus,OH,Office Supplies,Pens,30,257.7,453.61,7731.0,13608.3,5877.3,43.19%
2024-04-04,ORD-1090,Laura Johnson,Consumer,Salt Lake City,UT,Electronics,Smartwatches,9,17.2,29.61,154.8,266.49,111.69,41.91%
2024-01-27,ORD-1091,Eric Martinez,Consumer,Denver,CO,Furniture,Cabinets,30,483.79,710.18,14513.7,21305.4,6791.7,31.88%
2024-11-14,ORD-1092,Linda Davis,Enterprise,Phoenix,AZ,Electronics,Headphones,25,73.1,130.02,1827.5,3250.5,1423.0,43.78%
2024-11-14,ORD-1093,Karen Rivera,Small Business,Salt Lake City,UT,Office Supplies,Staplers,46,316.73,628.97,14569.58,28932.62,14363.04,49.64%
2024-05-26,ORD-1094,Sarah Turner,Consumer,New York,NY,Furniture,Office Chairs,65,151.78,200.19,9865.7,13012.35,3146.65,24.18%
2024-12-18,ORD-1095,John Chen,Small Business,Kansas City,MO,Office Supplies,Staplers,54,474.01,618.52,25596.54,33400.08,7803.54,23.36%
2024-09-01,ORD-1096,Jessica Evans,Consumer,New York,NY,Electronics,Monitors,81,59.83,104.63,4846.23,8475.03,3628.8,42.82%
2024-12-12,ORD-1097,Nicole Turner,Consumer,Dallas,TX,Furniture,Desks,88,472.55,655.73,41584.4,57704.24,16119.84,27.94%
2024-11-21,ORD-1098,Mark Rivera,Enterprise,Chicago,IL,Furniture,Cabinets,5,501.4,562.88,2507.0,2814.4,307.4,10.92%
2024-08-05,ORD-1099,Emily Green,Small Business,Los Angeles,CA,Furniture,Desks,13,392.32,776.61,5100.16,10095.93,4995.77,49.48%
2024-06-25,ORD-1100,Karen Watson,Enterprise,Cleveland,OH,Office Supplies,Paper,41,520.71,786.22,21349.11,32235.02,10885.91,33.77%
2024-12-07,ORD-1101,Anna King,Business,Detroit,MI,Electronics,Headphones,71,221.24,349.33,15708.04,24802.43,9094.39,36.67%
2024-08-23,ORD-1102,Anna Johnson,Business,Columbus,OH,Furniture,Cabinets,9,308.37,502.74,2775.33,4524.66,1749.33,38.66%
2024-01-15,ORD-1103,Robert Hall,Consumer,Detroit,MI,Office Supplies,Binders,1,409.8,768.36,409.8,768.36,358.56,46.67%
2024-02-01,ORD-1104,Eric Lee,Business,Denver,CO,Office Supplies,Envelopes,74,283.63,521.99,20988.62,38627.26,17638.64,45.66%
2024-02-09,ORD-1105,Mark White,Small Business,Atlanta,GA,Electronics,Monitors,44,405.8,496.79,17855.2,21858.76,4003.56,18.32%
2024-02-11,ORD-1106,John Perez,Small Business,Nashville,TN,Furniture,Chairs,36,524.39,1013.23,18878.04,36476.28,17598.24,48.25%
2024-08-31,ORD-1107,Mark Martinez,Enterprise,Nashville,TN,Furniture,Chairs,16,309.29,475.23,4948.64,7603.68,2655.04,34.92%
2024-06-22,ORD-1108,Michael Lee,Small Business,Houston,TX,Office Supplies,Notebooks,22,250.69,415.35,5515.18,9137.7,3622.52,39.64%
2024-05-07,ORD-1109,Robert Carter,Business,Houston,TX,Office Supplies,Notebooks,98,555.38,846.77,54427.24,82983.46,28556.22,34.41%
2024-02-17,ORD-1110,James Lee,Business,Columbus,OH,Furniture,Desks,60,467.07,769.17,28024.2,46150.2,18126.0,39.28%
2024-04-05,ORD-1111,Eric Frank,Enterprise,Portland,OR,Office Supplies,Notebooks,49,356.38,384.28,17462.62,18829.72,1367.1,7.26%
2024-10-18,ORD-1112,Emily Johnson,Business,Seattle,WA,Office Supplies,Pens,38,307.79,482.24,11696.02,18325.12,6629.1,36.17%
2024-06-29,ORD-1113,David Green,Enterprise,Seattle,WA,Electronics,Headphones,35,184.81,353.83,6468.35,12384.05,5915.7,47.77%
2024-11-09,ORD-1114,Maria Smith,Small Business,San Diego,CA,Electronics,Smartwatches,7,304.06,564.07,2128.42,3948.49,1820.07,46.1%
2024-03-10,ORD-1115,Sarah Singh,Consumer,Columbus,OH,Furniture,Chairs,97,51.27,94.12,4973.19,9129.64,4156.45,45.53%
2024-05-07,ORD-1116,Jessica Carter,Business,Miami,FL,Electronics,Headphones,82,338.31,365.75,27741.42,29991.5,2250.08,7.5%
2024-07-10,ORD-1117,Sarah Carter,Consumer,Miami,FL,Electronics,Monitors,19,175.2,349.93,3328.8,6648.67,3319.87,49.93%
2024-04-10,ORD-1118,John Singh,Business,Cleveland,OH,Furniture,Chairs,26,587.93,942.48,15286.18,24504.48,9218.3,37.62%
2024-10-23,ORD-1119,Anna Adams,Enterprise,Columbus,OH,Electronics,Laptops,41,488.38,767.58,20023.58,31470.78,11447.2,36.37%
2024-03-06,ORD-1120,Olivia Singh,Consumer,New Orleans,LA,Furniture,Desks,87,363.43,552.26,31618.41,48046.62,16428.21,34.19%
2024-09-17,ORD-1121,Anna Brown,Business,Minneapolis,MN,Electronics,Headphones,78,228.22,299.65,17801.16,23372.7,5571.54,23.84%
2024-07-14,ORD-1122,Mike Singh,Business,Charlotte,NC,Furniture,Office Chairs,98,579.79,843.35,56819.42,82648.3,25828.88,31.25%
2024-11-12,ORD-1123,Anna Davis,Consumer,Houston,TX,Office Supplies,Notebooks,67,242.84,332.13,16270.28,22252.71,5982.43,26.88%
2024-12-21,ORD-1124,Paul Martinez,Enterprise,San Francisco,CA,Furniture,Chairs,32,23.9,34.73,764.8,1111.36,346.56,31.18%
2024-07-01,ORD-1125,Emily Evans,Consumer,Portland,OR,Furniture,Desks,12,493.52,803.48,5922.24,9641.76,3719.52,38.58%
2024-04-28,ORD-1126,Mark Martinez,Small Business,Seattle,WA,Electronics,Smartphones,62,172.0,278.85,10664.0,17288.7,6624.7,38.32%
2024-08-31,ORD-1127,David White,Consumer,Seattle,WA,Office Supplies,Envelopes,10,363.67,614.28,3636.7,6142.8,2506.1,40.8%
2024-03-12,ORD-1128,Sarah Davis,Consumer,Philadelphia,PA,Office Supplies,Markers,51,330.93,492.3,16877.43,25107.3,8229.87,32.78%
2024-12-21,ORD-1129,Maria Adams,Enterprise,New Orleans,LA,Furniture,Tables,44,4.1,5.8,180.4,255.2,74.8,29.31%
2024-05-23,ORD-1130,Daniel Lee,Consumer,New York,NY,Electronics,Laptops,16,19.01,30.65,304.16,490.4,186.24,37.98%
2024-02-06,ORD-1131,Michael Rivera,Business,Atlanta,GA,Electronics,Headphones,92,233.82,258.07,21511.44,23742.44,2231.0,9.4%
2024-07-03,ORD-1132,Maria Anderson,Small Business,Denver,CO,Electronics,Headphones,11,222.89,441.18,2451.79,4852.98,2401.19,49.48%
2024-10-11,ORD-1133,Diana King,Consumer,Los Angeles,CA,Electronics,Monitors,30,316.63,455.53,9498.9,13665.9,4167.0,30.49%
2024-02-08,ORD-1134,Nicole Singh,Consumer,Phoenix,AZ,Office Supplies,Markers,71,90.24,128.24,6407.04,9105.04,2698.0,29.63%
2024-02-26,ORD-1135,James Lee,Enterprise,Phoenix,AZ,Electronics,Smartwatches,96,386.56,498.42,37109.76,47848.32,10738.56,22.44%
2024-02-19,ORD-1136,Olivia Martinez,Business,Detroit,MI,Office Supplies,Paper,81,380.85,557.99,30848.85,45197.19,14348.34,31.75%
2024-09-30,ORD-1137,Mark Anderson,Enterprise,Atlanta,GA,Furniture,Lamps,82,30.86,60.44,2530.52,4956.08,2425.56,48.94%
2024-09-18,ORD-1138,Paul Gonzalez,Business,Miami,FL,Office Supplies,Pens,10,327.12,479.25,3271.2,4792.5,1521.3,31.74%
2024-03-17,ORD-1139,John Smith,Small Business,Atlanta,GA,Furniture,Cabinets,93,219.0,338.7,20367.0,31499.1,11132.1,35.34%
2024-04-24,ORD-1140,Jessica Gonzalez,Enterprise,Atlanta,GA,Office Supplies,Staplers,47,489.06,846.65,22985.82,39792.55,16806.73,42.24%
2024-12-24,ORD-1141,Karen Anderson,Business,Detroit,MI,Office Supplies,Pens,7,65.37,76.59,457.59,536.13,78.54,14.65%
2024-05-19,ORD-1142,Maria Adams,Business,Boston,MA,Furniture,Office Chairs,49,256.29,474.51,12558.21,23250.99,10692.78,45.99%
2024-09-04,ORD-1143,Olivia Anderson,Business,Phoenix,AZ,Office Supplies,Pens,54,591.96,889.8,31965.84,48049.2,16083.36,33.47%
2024-10-12,ORD-1144,James Adams,Small Business,Indianapolis,IN,Electronics,Headphones,11,5.68,9.95,62.48,109.45,46.97,42.91%
2024-11-10,ORD-1145,Olivia Turner,Business,Philadelphia,PA,Electronics,Laptops,93,352.32,598.92,32765.76,55699.56,22933.8,41.17%
2024-03-28,ORD-1146,Olivia Green,Business,San Diego,CA,Electronics,Monitors,4,459.14,546.07,1836.56,2184.28,347.72,15.92%
2024-11-08,ORD-1147,Robert Perez,Consumer,Atlanta,GA,Office Supplies,Pens,21,283.78,499.09,5959.38,10480.89,4521.51,43.14%
2024-06-16,ORD-1148,Mark Adams,Small Business,Chicago,IL,Furniture,Chairs,100,206.65,225.53,20665.0,22553.0,1888.0,8.37%
2024-07-31,ORD-1149,Robert Gonzalez,Enterprise,Indianapolis,IN,Office Supplies,Binders,49,233.09,383.85,11421.41,18808.65,7387.24,39.28%
2024-05-25,ORD-1150,Laura Brown,Small Business,Los Angeles,CA,Furniture,Sofas,84,322.64,574.24,27101.76,48236.16,21134.4,43.81%
2024-06-06,ORD-1151,Sarah Johnson,Consumer,Seattle,WA,Furniture,Lamps,70,281.2,435.7,19684.0,30499.0,10815.0,35.46%
2024-05-18,ORD-1152,Karen Hall,Consumer,Nashville,TN,Electronics,Smartphones,47,211.68,275.08,9948.96,12928.76,2979.8,23.05%
2024-07-31,ORD-1153,Eric Brown,Small Business,San Francisco,CA,Electronics,Smartphones,58,240.77,300.27,13964.66,17415.66,3451.0,19.82%
2024-10-03,ORD-1154,Michael Gonzalez,Small Business,Houston,TX,Office Supplies,Markers,22,582.62,846.84,12817.64,18630.48,5812.84,31.2%
2024-01-27,ORD-1155,Diana Frank,Small Business,Houston,TX,Office Supplies,Notebooks,86,70.85,82.84,6093.1,7124.24,1031.14,14.47%
2024-02-04,ORD-1156,Emily Chen,Enterprise,Charlotte,NC,Office Supplies,Staplers,10,161.11,235.27,1611.1,2352.7,741.6,31.52%
2024-01-13,ORD-1157,Linda White,Business,Cleveland,OH,Electronics,Monitors,36,416.35,454.49,14988.6,16361.64,1373.04,8.39%
2024-12-04,ORD-1158,Sarah Johnson,Consumer,Seattle,WA,Furniture,Tables,16,580.83,1138.05,9293.28,18208.8,8915.52,48.96%
2024-12-20,ORD-1159,Robert Perez,Small Business,Seattle,WA,Furniture,Desks,14,304.43,552.66,4262.02,7737.24,3475.22,44.92%
2024-03-23,ORD-1160,Laura Hall,Business,Indianapolis,IN,Office Supplies,Markers,25,364.01,684.42,9100.25,17110.5,8010.25,46.81%
2024-07-03,ORD-1161,Emily Frank,Small Business,Detroit,MI,Electronics,Printers,49,378.61,645.93,18551.89,31650.57,13098.68,41.39%
2024-08-09,ORD-1162,Anthony King,Business,New Orleans,LA,Office Supplies,Staplers,11,180.01,359.17,1980.11,3950.87,1970.76,49.88%
2024-09-07,ORD-1163,James King,Consumer,Atlanta,GA,Electronics,Monitors,23,465.51,926.46,10706.73,21308.58,10601.85,49.75%
2024-08-28,ORD-1164,Olivia Rivera,Enterprise,Los Angeles,CA,Furniture,Lamps,15,358.45,557.69,5376.75,8365.35,2988.6,35.73%
2024-03-13,ORD-1165,James Adams,Enterprise,New York,NY,Furniture,Desks,76,527.45,844.36,40086.2,64171.36,24085.16,37.53%
2024-05-28,ORD-1166,Maria Carter,Small Business,Houston,TX,Furniture,Office Chairs,82,24.93,43.48,2044.26,3565.36,1521.1,42.66%
2024-02-03,ORD-1167,Anthony Johnson,Business,New Orleans,LA,Electronics,Headphones,47,459.28,810.01,21586.16,38070.47,16484.31,43.3%
2024-10-23,ORD-1168,Diana Davis,Small Business,Kansas City,MO,Office Supplies,Pens,89,404.6,791.73,36009.4,70463.97,34454.57,48.9%
2024-10-09,ORD-1169,Anna Carter,Business,New Orleans,LA,Electronics,Monitors,2,197.73,347.76,395.46,695.52,300.06,43.14%
2024-01-07,ORD-1170,Anna Lee,Consumer,Boston,MA,Office Supplies,Binders,21,210.26,243.09,4415.46,5104.89,689.43,13.51%
2024-04-09,ORD-1171,Sarah Lee,Consumer,Nashville,TN,Furniture,Cabinets,86,192.57,366.52,16561.02,31520.72,14959.7,47.46%
2024-08-26,ORD-1172,Maria Smith,Small Business,New Orleans,LA,Furniture,Lamps,88,218.82,226.14,19256.16,19900.32,644.16,3.24%
2024-10-02,ORD-1173,Mike Turner,Business,Kansas City,MO,Electronics,Laptops,20,536.49,757.52,10729.8,15150.4,4420.6,29.18%
2024-03-23,ORD-1174,Olivia Gonzalez,Consumer,Nashville,TN,Office Supplies,Envelopes,17,564.91,1003.88,9603.47,17065.96,7462.49,43.73%
2024-04-21,ORD-1175,Emily Hall,Enterprise,Columbus,OH,Electronics,Headphones,49,139.01,215.55,6811.49,10561.95,3750.46,35.51%
2024-07-07,ORD-1176,Nicole White,Business,Los Angeles,CA,Electronics,Laptops,5,442.14,719.39,2210.7,3596.95,1386.25,38.54%
2024-04-02,ORD-1177,Laura Martinez,Business,Kansas City,MO,Furniture,Cabinets,81,70.34,125.79,5697.54,10188.99,4491.45,44.08%
2024-03-18,ORD-1178,Eric Perez,Consumer,Detroit,MI,Furniture,Chairs,61,114.51,207.0,6985.11,12627.0,5641.89,44.68%
2024-04-02,ORD-1179,Robert Turner,Small Business,Cleveland,OH,Office Supplies,Envelopes,18,494.43,918.08,8899.74,16525.44,7625.7,46.15%
2024-05-08,ORD-1180,Eric Gonzalez,Enterprise,Atlanta,GA,Electronics,Smartwatches,52,215.43,267.24,11202.36,13896.48,2694.12,19.39%
2024-05-06,ORD-1181,Mark Turner,Business,Kansas City,MO,Office Supplies,Paper,81,391.71,715.21,31728.51,57932.01,26203.5,45.23%
2024-06-20,ORD-1182,Linda White,Business,San Diego,CA,Electronics,Monitors,91,130.2,182.58,11848.2,16614.78,4766.58,28.69%
2024-05-31,ORD-1183,Mark Lee,Consumer,Kansas City,MO,Electronics,Headphones,96,72.29,127.66,6939.84,12255.36,5315.52,43.37%
2024-10-13,ORD-1184,Nicole Johnson,Enterprise,Boston,MA,Furniture,Chairs,66,264.34,359.87,17446.44,23751.42,6304.98,26.55%
2024-07-16,ORD-1185,Mark Green,Small Business,Columbus,OH,Electronics,Headphones,42,14.21,16.45,596.82,690.9,94.08,13.62%
